fetched_at,source_updated_at,venue,current_count,comfortable_count,capacity_count
2026-08-01T09:00:00+08:00,,健身中心,0,80,161
2026-08-01T09:00:00+08:00,,室內游泳池,1,50,130
2026-08-01T09:05:00+08:00,,健身中心,8,80,161
2026-08-01T09:05:00+08:00,,室內游泳池,6,50,130
2026-08-01T09:10:00+08:00,,健身中心,10,80,161
2026-08-01T09:10:00+08:00,,室內游泳池,6,50,130
2026-08-01T09:15:00+08:00,,健身中心,14,80,161
2026-08-01T09:15:00+08:00,,室內游泳池,8,50,130
2026-08-01T09:20:00+08:00,,健身中心,16,80,161
2026-08-01T09:20:00+08:00,,室內游泳池,8,50,130
2026-08-01T09:25:00+08:00,,健身中心,23,80,161
2026-08-01T09:25:00+08:00,,室內游泳池,8,50,130
2026-08-01T09:30:00+08:00,,健身中心,27,80,161
2026-08-01T09:30:00+08:00,,室內游泳池,8,50,130
2026-08-01T09:35:00+08:00,,健身中心,31,80,161
2026-08-01T09:35:00+08:00,,室內游泳池,8,50,130
2026-08-01T09:40:00+08:00,,健身中心,32,80,161
2026-08-01T09:40:00+08:00,,室內游泳池,9,50,130
2026-08-01T09:45:00+08:00,,健身中心,31,80,161
2026-08-01T09:45:00+08:00,,室內游泳池,10,50,130
2026-08-01T09:50:00+08:00,,健身中心,34,80,161
2026-08-01T09:50:00+08:00,,室內游泳池,11,50,130
2026-08-01T09:55:00+08:00,,健身中心,35,80,161
2026-08-01T09:55:00+08:00,,室內游泳池,12,50,130
2026-08-01T10:00:00+08:00,,健身中心,37,80,161
2026-08-01T10:00:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:05:00+08:00,,健身中心,36,80,161
2026-08-01T10:05:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:10:00+08:00,,健身中心,36,80,161
2026-08-01T10:10:00+08:00,,室內游泳池,10,50,130
2026-08-01T10:15:00+08:00,,健身中心,36,80,161
2026-08-01T10:15:00+08:00,,室內游泳池,10,50,130
2026-08-01T10:20:00+08:00,,健身中心,37,80,161
2026-08-01T10:20:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:25:00+08:00,,健身中心,36,80,161
2026-08-01T10:25:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:30:00+08:00,,健身中心,34,80,161
2026-08-01T10:30:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:35:00+08:00,,健身中心,35,80,161
2026-08-01T10:35:00+08:00,,室內游泳池,10,50,130
2026-08-01T10:40:00+08:00,,健身中心,35,80,161
2026-08-01T10:40:00+08:00,,室內游泳池,11,50,130
2026-08-01T10:45:00+08:00,,健身中心,36,80,161
2026-08-01T10:45:00+08:00,,室內游泳池,9,50,130
